A440 一	A441 乙	A442 丁	
A9CF 戕	A9D0 房	A9D1 戾	A9D2 所	A9D3 承	A9D4 拉	A9D5 拌	A9D6 拄	A9D7 抿	A9D8 拂	
A9D9 抹	A9DA 拒	A9DB 招	A9DC 披	A9DD 拓	A9DE 拔	A9DF 拋	A9E0 拈	A9E1 抨	A9E2 抽	
A9E3 押	A9E4 拐	A9E5 拙	A9E6 拇	A9E7 拍	A9E8 抵	A9E9 拚	A9EA 抱	A9EB 拘	A9EC 拖	
A9ED 拗	A9EE 拆	A9EF 抬	A9F0 拎	A9F1 放	A9F2 斧	A9F3 於	A9F4 旺	A9F5 昔	A9F6 易	
A9F7 昌	A9F8 昆	A9F9 昂	A9FA 明	A9FB 昀	A9FC 昏	A9FD 昕	A9FE 昊	A9FF ?	AA00 ? 	
AA01 ?	AA02 ?	AA03 ?	AA04 ?	AA05 ?	AA06 ?	AA07 ?	AA08 ?	AA09 ?	AA0A ?
	
AA0B ?	AA0C ?	AA0D ?	AA0E ?	AA0F ?	AA10 ?	AA11 ?	AA12 ?	AA13 ?	AA14 ?	
AA15 ?	AA16 ?	AA17 ?	AA18 ?	AA19 ?	AA1A ?	AA1B ?	AA1C ?	AA1D ?	AA1E ?	
AA1F ?	AA20 ?	AA21 ?	AA22 ?	AA23 ?	AA24 ?	AA25 ?	AA26 ?	AA27 ?	AA28 ?	
AA29 ?	AA2A ?	AA2B ?	AA2C ?	AA2D ?	AA2E ?	AA2F ?	AA30 ?	AA31 ?	AA32 ?	
AA33 ?	AA34 ?	AA35 ?	AA36 ?	AA37 ?	AA38 ?	AA39 ?	AA3A ?	AA3B ?	AA3C ?	
AA3D ?	AA3E ?	AA3F ?	AA40 昇	AA41 服	AA42 朋	AA43 杭	AA44 枋	AA45 枕	AA46 東	
AA47 果	AA48 杳	AA49 杷	AA4A 枇	AA4B 枝	AA4C 林	AA4D 杯	AA4E 杰	AA4F 板	AA50 枉	
AA51 松	AA52 析	AA53 杵	AA54 枚	AA55 枓	AA56 杼	AA57 杪	AA58 杲	AA59 欣	AA5A 武	
AA5B 歧	AA5C 歿	AA5D 氓	AA5E 氛	AA5F 泣	AA60 注	AA61 泳	AA62 沱	AA63 泌	AA64 泥	
AA65 河	AA66 沽	AA67 沾	AA68 沼	AA69 波	AA6A 沫	AA6B 法	AA6C 泓	AA6D 沸	AA6E 泄	
AA6F 油	AA70 況	AA71 沮	AA72 泗	AA73 泅	AA74 泱	AA75 沿	AA76 治	AA77 泡	AA78 泛	
